x y
4.173756363159476450e+02 9.118696747205497104e+02
4.186305824977028465e+02 9.159250837160720948e+02
4.199059518713263515e+02 9.204526567505793082e+02
4.215783447410581175e+02 9.250802833406785339e+02
4.234518001331434220e+02 9.296557437226733782e+02
4.256041799264507972e+02 9.341006329174720122e+02
4.278133889785717088e+02 9.385282494354233904e+02
4.300641837206866285e+02 9.429470704434696700e+02
4.323447813967297293e+02 9.473661800807077498e+02
4.346431552981816822e+02 9.517945343570205523e+02
4.369423477278166956e+02 9.562337991104789126e+02
4.392365862866795965e+02 9.606767946605496036e+02
4.415271346568453055e+02 9.651221938734913692e+02
4.438128701267099814e+02 9.695705786369970838e+02
4.460961466535459294e+02 9.740205476015062231e+02
4.483757856939585622e+02 9.784725751837552252e+02
4.506532706023003811e+02 9.829257500742523916e+02
4.529300823044274011e+02 9.873791658350033913e+02
4.552050363917183518e+02 9.918332858518926969e+02
4.574796139422838905e+02 9.962872035278913927e+02
4.597552958954969995e+02 1.000740004839995436e+03
4.620309012373452902e+02 1.005192165857698001e+03
4.643078960667357933e+02 1.009642753094142108e+03
4.665878103070241991e+02 1.014090961014175605e+03
4.688694369409330420e+02 1.018537906026624569e+03
4.711546104452480677e+02 1.022982968071128880e+03
4.734414286390242523e+02 1.027427098344940305e+03
4.757564019642245512e+02 1.031856531439319269e+03
4.780754513410915365e+02 1.036283768991847410e+03
4.803966968011141034e+02 1.040709804197857011e+03
4.827200303014679434e+02 1.045134711422160763e+03
4.850453422952774645e+02 1.049558560246416846e+03
4.873716394924275050e+02 1.053981885365948074e+03
4.897005856616399342e+02 1.058403830549800205e+03
4.920311876014873178e+02 1.062824931696517069e+03
4.943633360915251274e+02 1.067245261000184200e+03
4.966969224053904099e+02 1.071664887804982527e+03
4.990318401744456764e+02 1.076083883967910879e+03
5.013670949147225997e+02 1.080502787829556382e+03
5.037043487059452218e+02 1.084920738147852944e+03
5.060426081955325230e+02 1.089338271554422136e+03
5.083817659012607919e+02 1.093755459863039505e+03
5.107217135918197073e+02 1.098172375384140196e+03
5.130623422640462650e+02 1.102589087983443733e+03
5.154026601845522464e+02 1.107006136549412531e+03
5.177443271981409225e+02 1.111422659518550290e+03
5.200863503978957851e+02 1.115839193595371398e+03
5.224286230093093764e+02 1.120255812062358700e+03
5.247710342587485002e+02 1.124672582432205218e+03
5.271134810499266905e+02 1.129089584110931128e+03
